edad,comentario,lugar,genero,comentario_cleaned,prob_topico_0,prob_topico_1,prob_topico_2,prob_topico_3,prob_topico_4,prob_topico_5,prob_topico_6,topico_dominante
23,"creo que tiene mucho potencial, en especial en cuanto a la gastronomia y las actividades culturales",irapuato,mujer,potencial especial gastronomia actividad cultural,0.014285740868703215,0.0143046270095359,0.014301874112905675,0.9142442339267758,0.014285733911955195,0.014285762197910412,0.014292027972213631,3
21,"lugar pequeno, sin muchas atracciones, nada llamativo",irapuato,mujer,lugar pequeno atraccion llamativo,0.8928266055371209,0.01785962990525196,0.017858727901647286,0.017857685715904143,0.017878807531880227,0.017857192260259912,0.01786135114793552,0
21,"salamanca es un lugar muy hostil, no lo recomendaria para visitar pero o lo dejaria de ultima opcion ya que son contados los lugares ""bonitos"" que uno encuentra en facebook",leon,mujer,salamanca lugar hostil recomendario visitar dejaria ultima opcion contar lugar bonito facebook,0.9642717616484066,0.0059556577762571615,0.005954686744727635,0.0059558550611664846,0.005955277312425556,0.0059530164886041894,0.005953744968412501,0
25,"creo que salamanca podria ser una buena ciudad si el gobierno quisiera hacerla crecer, pero hay mucha inseguridad y todo se ve muy descuidado",irapuato,mujer,salamanca ciudad gobierno querer hacer crecer inseguridad descuidado,0.008934193674683719,0.008941551106675084,0.008931283428760855,0.008937843096472399,0.9463907739634139,0.008932783658037036,0.008931571071957068,4
21,"aunque la gente salmantino sea variada en cuanto amabilidad, salamanca actualmente es un lugar para evitar, se esta convirtiendo en lugar fantasma por la inseguridad, llevando se asi la gastronomia y cultura que salamanca tenia y que al dia de hoy se estan perdiendo por falta de seguridad",salamanca,mujer,gente salmantino variar amabilidad salamanca actualmente lugar evitar convertir lugar fantasma inseguridad llevar gastronomia cultura salamanca tenia perder falta seguridad,0.003576178880871781,0.003576550225826464,0.0035742674515352804,0.0035750012020820546,0.0035805831914546052,0.0035780869671567313,0.9785393320810731,6
19,"es una ciudad con oportunidades laborales y estudiantiles decentes y se puede tener una calidad de vida buena, aun asi cuenta con zonas muy inseguras, poca recreacion y mucha contaminacion, aunque con grandes personas.",salvatierra,hombre,ciudad oportunidad laboral estudiantil decente calidad vida zona insegura recreacion contaminacion persona,0.005956636291973496,0.005954042357708911,0.005955066237907623,0.005962488306313657,0.0059558333148545676,0.005956735529309515,0.9642591979619323,6
19,aventura,salvatierra,mujer,aventura,0.07142878610230197,0.0714287544657771,0.07142872849005248,0.5714273135778122,0.07142872897425762,0.07142896550827883,0.07142872288151969,3
20,"salamanca es un muy buen lugar, tiene muchos lugares accesibles precios bastante buenos, lugares que puedes ir conociendo poco a poco y aunque la inseguridad y tambien el propio gobierno a veces no ayuda, el poder estar con muchas personas y que muchas sean calidas y te puedas llevar bien es lo que lo caracteriza de todo, es un lugar muy resiliente la verdad",orizaba,hombre,salamanca lugar lugar accesibl precio lugar poder conocer inseguridad gobierno ayudar persona calir poder caracterizar lugar resiliente,0.9747681922566102,0.004206433238044471,0.004202529116780622,0.0042045513487240374,0.004207177709698052,0.004207122425860397,0.004203993904282253,0
22,huele feo la refineria,salamanca,mujer,oler feo refineria,0.8570273592687817,0.023829098333782443,0.023826352137270433,0.02380955959516788,0.023846832074423945,0.023851244128346737,0.023809554462227,0
21,"al igual que en varios municipios de guanajuato la ciudad se ve opacada por las constantes olas de violencia que causan inseguridad en sus habitantes por o tanto tambien a sus turistas, ademas es vista como una ciudad industrial por la refineria lo que le da mala imagen ambiental",valle de santiago,hombre,municipio guanajuato ciudad opacado constante ola violencia causar inseguridad habitante turista ver ciudad industrial refineria malo imagen ambiental,0.003970330129241742,0.003968595079878402,0.003969731533008371,0.003969917737025976,0.9761820534573081,0.003970027764446484,0.003969344299090707,4
26,"es un lugar muy sucio incluso en el aire, donde se tienen niveles de inseguridad bastante altos",guanajuato,hombre,lugar sucio aire nivel inseguridad alto,0.011950786923809546,0.011918462573953695,0.9283840272073987,0.01191204998056253,0.011964574923382923,0.011947078245586417,0.011923020145306447,2
20,"tiene muy pocas cosas para hacer, y las que hay en su mayoria quedan lejos. asi como muchos lugares, la delincuencia y violencia que hay ponen en muy mala finta a la ciudad. en general, aunque no he tenido muy malas experiencias, realmente no me gustaria quedarme ni recomendar que vengan a vivir/estudiar aqui",leon,mujer,cosa mayoria quedar lejos lugar delincuencia violencia poner malo finta ciudad general mala experiencia realmente gustariar quedar recomendar vengar vivir estudiar,0.0034058734056279737,0.003402629063865754,0.003402221987318909,0.0034022083410550994,0.9795787038414516,0.0034051194723499862,0.003403243888330791,4
30,"salamanca es una ciudad que he visitado desde hace muchos anos por estudios, recreacion y para hacer compras. ahi viven algunos de mis familiares y amigos y eso me hace tener una buena impresion de la ciudad. sin embargo, tambien creo que, lamentablemente, los temas de la contaminacion y la inseguridad han afectado su imagen y, por ejemplo, ya no se tiene tanta confianza para visitar zonas turisticas a las afueras de la ciudad.",valle de santiago,hombre,salamanca ciudad visitar ano estudio recreacion compra vivir familiar amigo impresion ciudad lamentablemente tema contaminacion inseguridad afectar imagen ejemplo tanto confianza visitar zona turistica afuera ciudad,0.0027498954865153974,0.002748147607600706,0.0027489522712008736,0.9834994555553079,0.00275312482181537,0.002750217380884602,0.002750206876675234,3
