cluster,indice_global,sim_coseno_tfidf,sim_coseno_reducido,top_en_tfidf,top_en_reducido,coincide_en_ambos,comentario_cleaned,comentario,genero,lugar,edad
0,41,0.242536,0.994463,False,True,False,faltar cosa salamanca empezar inseguridad ayudar general,"faltan muchas cosas para que salamanca sea mucho mejor, pero empezando con la inseguridad no ayuda en nada en general.",mujer,salamanca,21
0,91,0.242536,0.994463,False,True,False,general contaminacion seguridad delincuencia municipio,"en general, hay mucha contaminacion. respecto a la seguridad, hay mucha delincuencia (como la hay en otros municipios del estado).",mujer,irapuato,20
0,46,0.242536,0.994394,False,True,False,malo salamanca provenir inseguridad falta zona recreativo,"creo que todo lo malo de salamanca proviene de la inseguridad, y que hacen falta mas zonas para lo recreativo",hombre,salamanca,21
0,62,0.242536,0.966288,True,False,False,potencial especial gastronomia actividad cultural,"creo que tiene mucho potencial, en especial en cuanto a la gastronomia y las actividades culturales",mujer,irapuato,23
0,24,0.242536,0.791702,True,False,False,lugar peligroso adaptar,es un lugar peligroso pero te adaptas,mujer,villagran,18
0,74,0.242536,0.791702,True,False,False,cosa mayoria quedar lejos lugar delincuencia violencia poner malo finta ciudad general mala experiencia realmente gustariar quedar recomendar vengar vivir estudiar,"tiene muy pocas cosas para hacer, y las que hay en su mayoria quedan lejos. asi como muchos lugares, la delincuencia y violencia que hay ponen en muy mala finta a la ciudad. en general, aunque no he tenido muy malas experiencias, realmente no me gustaria quedarme ni recomendar que vengan a vivir/estudiar aqui",mujer,leon,20
1,19,0.5,0.999009,False,True,False,ciudad sucio mexico cerca refineria disgustar colocar sede ciudad tanto inseguridad suciedad,es de las ciudades mas sucias de mexico por tener aqui cerca la refineria. me disgusta que se haya colocado una sede de la ug en una ciudad con tanta inseguridad y suciedad.,mujer,guanajuato,20
1,69,0.5,0.999009,False,True,False,salamanca lugar lugar accesibl precio lugar poder conocer inseguridad gobierno ayudar persona calir poder caracterizar lugar resiliente,"salamanca es un muy buen lugar, tiene muchos lugares accesibles precios bastante buenos, lugares que puedes ir conociendo poco a poco y aunque la inseguridad y tambien el propio gobierno a veces no ayuda, el poder estar con muchas personas y que muchas sean calidas y te puedas llevar bien es lo que lo caracteriza de todo, es un lugar muy resiliente la verdad",hombre,orizaba,20
1,39,0.5,0.992376,False,True,False,salamanca descuidado infraestructura lugar viejo caer pedazos mantenimiento plaza galeria principalmente general zona sur salamanca descuidado calle pavimento actualmente area verde feo calle descuidado incluir rancheria pertenecer salamanca bonito turistico mantenimiento rancheria precio elevado salamanca ganar sueldo petrolero ciudad alrededor variedad aspecto precio accesibl,"salamanca esta muy descuidado en su infraestructura, lugares muy viejos que se caen a pedazos, no dan mantenimiento a las plazas como galerias principalmente, en general la zona sur de salamanca esta muy descuidado, muchas calles sin pavimento actualmente, areas verdes muy feas, calles por igual muy descuidadas, incluyendo a las rancherias que le pertenecen a salamanca tienen su lado bonito o turistico, pero tampoco les dan su debido mantenimiento a las rancherias, precios elevados, como si todos en salamanca ganamos sueldo de petroleros, las ciudades de los alrededores tienen mas variedad en todos los aspectos y a precios mas accesibles.",hombre,salamanca,22
1,89,0.5,0.992376,True,False,False,naci visito universidad gustar jardin principal calid gente,"aqui naci lo visito por la universidad, me gusta su jardin principal y la calides de la gente",mujer,cortazar,21
1,28,0.5,0.98042,True,False,False,,.,hombre,salamanca,20
1,78,0.5,0.98042,True,False,False,lugar inseguro,es un lugar un poco inseguro,mujer,salamanca,20
2,9,0.377964,0.998384,False,True,False,oler feo refineria,huele feo la refineria,mujer,salamanca,22
2,59,0.377964,0.998384,True,True,True,foraneo venir regreso diario ver viajar opinion completo,"soy foraneo, vengo y regreso diario, no he visto mucho y no viajo mucho asi que no podria dar una opinion muy completa",hombre,celaya,22
2,14,0.377964,0.997369,False,True,False,desconocer mayoria aspecto preguntar encuesta visitar centro,desconozco la mayoria de aspectos que se preguntan en esta encuesta ya que nunca he visitado el centro,hombre,abasolo,19
2,37,0.377964,0.996353,True,False,False,gastronomia lugar atractivo visitar,"tiene muy buena gastronomia, pero creo que no es un lugar muy atractivo para visitar",hombre,irapuato,24
2,87,0.377964,0.996353,True,False,False,lugar vivir,es un buen lugar para vivir,hombre,salamanca,20
3,10,0.408248,0.996825,False,True,False,municipio guanajuato ciudad opacado constante ola violencia causar inseguridad habitante turista ver ciudad industrial refineria malo imagen ambiental,"al igual que en varios municipios de guanajuato la ciudad se ve opacada por las constantes olas de violencia que causan inseguridad en sus habitantes por o tanto tambien a sus turistas, ademas es vista como una ciudad industrial por la refineria lo que le da mala imagen ambiental",hombre,valle de santiago,21
3,60,0.408248,0.996825,False,True,False,inseguro transporte caro comida,"es muy inseguro, los transportes son caros al igual que ciertas comidas.",mujer,salamanca,22
3,50,0.408248,0.97712,False,True,False,lugar promedio ofrecer turisticamente,un lugar muy promedio sin mucho que ofrecer turisticamente,hombre,salamanca,19
3,53,0.408248,0.970879,True,False,False,saquenmir ayudo,saquenme de aqui ayuda,mujer,cueramaro,21
3,30,0.408248,0.96923,True,False,False,gobierno implementar cultura lugar atractivo inseguridad venir fuerte cerrar lugar malo gestion,el gobierno podria implementar una mayor cultura de lugares atractivos pero la inseguridad viene cada dia mas fuerte y cierran mas lugares debido a su mala gestion,mujer,salamanca,22
3,80,0.408248,0.96923,True,False,False,ciudad inseguro visito universidad asisto lugar concurrido amigo disfrutar lugar atractivo pasar rato ciudad contaminado humo salir empresa pemex destino turistico valgar pena carino amigo familiar vivir,"es una ciudad bastante insegura, la visito por la universidad y de vez en cuando asisto a lugares concurridos con mis amigos para disfrutar. sin embargo no tiene lugares atractivos para pasar el rato. es una ciudad muy contaminada y siempre se ve mucho humo saliendo de las empresas de pemex. no tiene destinos turisticos que valgan la pena. le tengo carino por mis amigos y familiares que viven ahi.",hombre,irapuato,20
4,7,0.707107,0.992527,False,True,False,salamanca lugar lugar accesibl precio lugar poder conocer inseguridad gobierno ayudar persona calir poder caracterizar lugar resiliente,"salamanca es un muy buen lugar, tiene muchos lugares accesibles precios bastante buenos, lugares que puedes ir conociendo poco a poco y aunque la inseguridad y tambien el propio gobierno a veces no ayuda, el poder estar con muchas personas y que muchas sean calidas y te puedas llevar bien es lo que lo caracteriza de todo, es un lugar muy resiliente la verdad",hombre,orizaba,20
